/* DATA DESCRIPTION:
Citation:	Milcu, Alexandru; Puga-Freitas, Ruben; Ellison, Aaron M; Blouin, Manuel; Scheu, Stefan; Girin, Thomas; Freschet, Grégoire T; Rose, Laura; Scherer-Lorenzen, Michael; Barot, Sebastien; Lata, Jean-Christophe; Cesarz, Simone; Eisenhauer, Nico; Gigon, Agnès; Weigelt, Alexandra; Hansart, Amandine; Greiner, Anna; Pando, Anne; Gessler, Arthur; Grignani, Carlo; Assandri, Davide; Gleixner, Gerd; LeGalliard, Jean-Francois; Urban-Mead, Katherine; Zavattaro, Laura; Müller, Marina E H; Lange, Markus; Lukac, Martin; Bonkowski, Michael; Mannerheim, Neringa; Buchmann, Nina; Butenschoen, Olaf; Rotter, Paula; Seyhun, Rahme; Devidal, Sébastien; Kayler, Zachary; Roy, Jacques (2017): Data from 14 labortories testing the impact of introduced variability on the reproducibility of a microcosm ecological experiment. PANGAEA, https://doi.org/10.1594/PANGAEA.880980, 
	Supplement to: Milcu, A et al. (2018): Genotypic variability enhances the reproducibility of an ecological study. Nature Ecology & Evolution, 2, 279-287, https://doi.org/10.1038/s41559-017-0434-x
Abstract:	Although microcosm experiments are a frequent tool used to address fundamental ecological questions, there has been no quantitative assessment of the reproducibility of any microcosm experiment. This dataset contains the response variables measured in a multi-laboratory microcosm study in which the same microcosm experiment was repeated in 14 laboratories across Europe. All laboratories simultaneously run a simple microcosm experiment using grass (Brachypodium distachyon L.) monocultures and grass and legume (Medicago truncatula Gaertn.) mixtures. All twelve variables were then used to calculate the effect of the presence of nitrogen-fixing legume on the grass-legume mixtures (i.e. the net legume effect).
	The project tested a controversial hypotheses postulating that stringent levels of environmental and biotic standardization in experimental studies reduces reproducibility by amplifying impacts of lab-specific environmental factors not accounted for in the experimental design. This implies that the deliberate introduction of controlled systematic variability (CSV) in experimental designs can increase reproducibility. To test this hypothesis, each laboratory followed the same experimental protocol and introduced environmental and genotypic controlled systematic variability (CSV) within and among replicated microcosms established in either growth chambers (with stringent control of environmental conditions) or glasshouses (with more variable environmental conditions). Data were used to test the extent to which the effect size of the net legume effect varied with the CSV treatment and to estimate the number of laboratories that produced results that can be considered reproducible.
Parameter(s):	Laboratory (Lab) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	Method comment (Method comm) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: type of setup
	Identification (ID) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: Microcosm ID
	Block (Block) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	Treatment (Treat) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: legume
	Treatment (Treat) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: controlled systematic variabiliy
	Genotype (Genotype) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	Biomass, dry mass [g] (Biom dm) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: seed
	Biomass, dry mass [g] (Biom dm) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: shoot
	Biomass, dry mass [g] (Biom dm) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: root
	Biomass, dry mass [g] (Biom dm) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: total
	Root/shoot ratio (Root/shoot) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: biomass
	Brachypodium distachyon, height [cm] (B. distachyon height) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	Nitrogen, shoot [%] (N shoot) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	Carbon, shoot [%] (C shoot) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	δ15N [‰ air] (δ15N) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	δ13C [‰ PDB] (δ13C) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	Evapotranspiration [ml/day] (ET) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	Litter [g] (Litter) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: mass remaining
License:	Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported (CC-BY-NC-ND-3.0)
Size:	18824 data points
*/
Lab	Method comm	ID	Block	Treat (legume)	Treat (controlled systematic variabiliy)	Genotype	Biom dm [g] (seed)	Biom dm [g] (shoot)	Biom dm [g] (root)	Biom dm [g] (total)	Root/shoot	B. distachyon height [cm]	N shoot [%]	C shoot [%]	δ15N [‰ air]	δ13C [‰ PDB]	ET [ml/day]	Litter [g]
L1	growth_chamber	1	block1	B	CTR	B1	0.724	1.203	1.379	3.306	1.379	26.8	0.658	45.912	1.440	-30.244	95.0	0.53
L1	growth_chamber	2	block1	B	CTR	B1	0.635	1.059	1.297	2.991	1.297	26.8	0.657	45.819	1.374	-30.389	83.0	0.55
L1	growth_chamber	3	block1	B	CTR	B1	0.843	1.131	1.175	3.149	1.175	29.5	0.677	46.201	1.063	-30.577	90.0	0.46
L1	growth_chamber	4	block1	B	ENVw	B1	0.728	1.083	1.290	3.101	1.290	28.5	0.620	46.113	1.367	-30.211	108.0	0.47
L1	growth_chamber	5	block1	B	ENVw	B1	0.697	0.936	1.080	2.713	1.080	27.7	0.652	46.305	0.939	-30.387	88.0	0.47
L1	growth_chamber	6	block1	B	ENVw	B1	0.796	1.138	1.411	3.345	1.411	26.8	0.760	47.177	1.420	-30.162	88.0	0.53
L1	growth_chamber	7	block1	B	ENVb	B1	0.871	1.195	1.118	3.184	1.118	28.3	0.591	43.858	1.192	-30.208	98.0	0.51
L1	growth_chamber	8	block1	B	ENVb	B1	0.812	1.085	1.086	2.983	1.086	25.7	0.687	46.444	1.669	-30.165	93.0	0.42
L1	growth_chamber	9	block1	B	ENVb	B1	0.713	0.974	1.177	2.865	1.177	26.2	0.655	45.920	1.179	-30.188	111.0	0.41
L1	growth_chamber	10	block1	B	GENw	B1	0.166	0.987	1.440	2.593	1.440	17.7	0.707	44.314	0.819	-29.845	89.0	0.61
L1	growth_chamber	11	block1	B	GENw	B1	0.083	1.186	1.304	2.573	1.304	14.1	0.618	46.663	2.866	-28.642	84.0	0.39
L1	growth_chamber	12	block1	B	GENw	B1	0.208	1.082	1.704	2.993	1.704	17.7	0.690	45.819	0.904	-29.602	89.0	0.69
L1	growth_chamber	13	block1	B	GENb	B1	0.528	1.058	1.172	2.758	1.172	24.6	0.674	46.274	0.561	-30.084	75.0	0.63
L1	growth_chamber	14	block1	B	GENb	B1	0.164	1.149	1.352	2.666	1.352	19.9	0.719	44.715	0.762	-29.157	94.0	0.54
L1	growth_chamber	15	block1	B	GENb	B1	0.286	1.067	1.262	2.615	1.262	20.6	0.756	45.106	1.222	-29.806	86.0	0.56
L1	growth_chamber	16	block1	B	ENVw+GENw	B1	0.188	1.188	1.379	2.755	1.379	23.6	0.721	45.767	1.063	-28.968	90.0	0.45
L1	growth_chamber	17	block1	B	ENVw+GENw	B1	0.163	1.062	1.391	2.615	1.391	17.6	0.585	45.862	1.480	-29.538	81.0	0.47
L1	growth_chamber	18	block1	B	ENVw+GENw	B1	0.237	1.081	1.522	2.839	1.522	22.7		45.090	1.402	-29.471	77.0	0.43
L1	growth_chamber	19	block1	BM	CTR	M1	0.267	3.016	2.044	5.326	2.044	26.4	0.757	45.136	1.215	-29.673	136.0	0.54
L1	growth_chamber	20	block1	BM	CTR	M1	0.232	4.180	2.355	6.767	2.355	18.6	0.656	44.337	1.065	-29.425	155.0	0.50
L1	growth_chamber	21	block1	BM	CTR	M1	0.316	4.252	2.415	6.983	2.415	26.8	0.600	45.720	1.106	-28.931	147.0	0.54
L1	growth_chamber	22	block1	BM	ENVw	M1	0.389	5.136	2.392	7.916	2.392	26.7	0.697	45.264	0.818	-30.134	173.0	0.41
L1	growth_chamber	23	block1	BM	ENVw	M1	0.341	4.078	1.850	6.270	1.850	26.8	0.620	44.701	0.661	-30.035	166.0	0.35
L1	growth_chamber	24	block1	BM	ENVw	M1	0.423	3.055	1.732	5.210	1.732	27.3	0.699	43.910	1.329	-30.292	160.0	0.45
L1	growth_chamber	25	block1	BM	ENVb	M1	0.392	3.558	2.167	6.117	2.167	27.3	0.669	46.022	2.258	-29.239	129.0	0.61
L1	growth_chamber	26	block1	BM	ENVb	M1	0.406	2.975	1.727	5.108	1.727	28.2	0.692	45.653	2.481		136.0	0.58
L1	growth_chamber	27	block1	BM	ENVb	M1	0.370	4.308	1.959	6.637	1.959	27.6	0.662	44.760	0.101	-30.224	180.0	0.48
L1	growth_chamber	28	block1	BM	GENw	M1	0.110	1.741	1.767	3.617	1.767	17.6	0.668	44.475	1.768	-29.825	119.0	0.39
L1	growth_chamber	29	block1	BM	GENw	M1	0.179	2.466	1.916	4.562	1.916	26.4	0.741	44.352	0.985		119.0	0.52
L1	growth_chamber	30	block1	BM	GENw	M1	0.177	1.787	1.726	3.690	1.726	20.2	0.679	45.191	1.716	-29.475	121.0	0.55
L1	growth_chamber	31	block1	BM	GENb	M1	0.324	2.813	1.725	4.863	1.725	27.9	0.694	45.411	1.269	-28.452	128.0	0.56
L1	growth_chamber	32	block1	BM	GENb	M1	0.163	1.866	1.999	4.028	1.999	18.6	0.624	44.991	1.529	-29.426	117.0	0.40
L1	growth_chamber	33	block1	BM	GENb	M1	0.091	1.941	1.696	3.728	1.696	18.1	0.637	44.534	0.904	-28.722	120.0	0.61
L1	growth_chamber	34	block1	BM	ENVw+GENw	M1	0.126	2.643	1.831	4.601	1.831	20.1	0.720	45.076	0.530	-29.522	142.0	0.41
L1	growth_chamber	35	block1	BM	ENVw+GENw	M1	0.000	2.981	2.210	5.191	2.210	13.1	0.666	43.804	0.873	-29.097	145.0	0.59
L1	growth_chamber	36	block1	BM	ENVw+GENw	M1	0.108	1.455	1.457	3.020	1.457	16.6	0.658	44.157	1.278	-29.622	113.0	0.48
