ROW,SITE,TREATMENT,FENCE,NPK.ADDED,MAT,MAP,SOLAR.INS,N.DEPOSITION,GRAZING.INDEX,SOIL.PCT.N,TOTAL.AG.BIOMASS,PERCENT.GRASS.BIOMASS,plant.NPK,plant.N,plant.P,plant.K
1,bnch.us,Fence,1,0,5.5,1647,7.412331457,2.8441,8,0.536,80.9,0.379480841,4.523484407,2.493329475,0.170386149,1.859768783
2,bnch.us,NPK,0,1,5.5,1647,7.412331457,2.8441,8,0.526,112.55,0.704131497,4.916124502,2.363855785,0.294459577,2.257809139
3,bnch.us,Control,0,0,5.5,1647,7.412331457,2.8441,8,0.476,96.45,0.341627786,3.731797349,2.002236784,0.138248604,1.591311961
4,bnch.us,NPK_Fence,1,1,5.5,1647,7.412331457,2.8441,8,0.519,171.749995,0.588646276,5.042825981,2.499885411,0.221752108,2.321188461
5,bnch.us,NPK_Fence,1,1,5.5,1647,7.412331457,2.8441,8,0.547,202.05,0.619153675,5.615702545,2.720145103,0.248040294,2.647517149
6,bnch.us,NPK,0,1,5.5,1647,7.412331457,2.8441,8,0.59,174.250005,0.689526551,5.449162484,2.512470634,0.278826097,2.657865753
7,bnch.us,Fence,1,0,5.5,1647,7.412331457,2.8441,8,0.692,125.7,0.521479714,4.277301866,1.709379394,0.285448041,2.28247443
8,bnch.us,Control,0,0,5.5,1647,7.412331457,2.8441,8,0.568,92.5,0.565945946,4.316026921,2.216998226,0.219329172,1.879699523
9,bnch.us,NPK,0,1,5.5,1647,7.412331457,2.8441,8,0.878,371.899985,0.66778704,4.500583543,2.153695922,0.220732573,2.126155048
10,bnch.us,Control,0,0,5.5,1647,7.412331457,2.8441,8,0.68,140.45,0.505873977,5.342023018,2.49359769,0.226786376,2.621638953
11,bnch.us,Fence,1,0,5.5,1647,7.412331457,2.8441,8,0.754,186.549995,0.705172868,4.434161329,1.986498445,0.167729043,2.279933841
12,bnch.us,NPK_Fence,1,1,5.5,1647,7.412331457,2.8441,8,0.693,189.05,0.795556731,4.738234637,2.21057906,0.21644683,2.311208747
13,burrawan.au,Control,0,0,18.4,683,9.01855728,2.2505,13,0.08,231.9,0.99,1.525978367,0.728308833,0.188241767,0.609427767
14,burrawan.au,NPK,0,1,18.4,683,9.01855728,2.2505,13,0.108,62.7,0.99,1.839888367,0.899006633,0.1753889,0.765492833
15,burrawan.au,NPK_Fence,1,1,18.4,683,9.01855728,2.2505,13,0.119,138.35,0.99,1.533546567,0.9450381,0.129964067,0.4585444
16,burrawan.au,Fence,1,0,18.4,683,9.01855728,2.2505,13,0.055,213.7,0.99,1.250316167,0.6919218,0.1168275,0.441566867
17,burrawan.au,NPK_Fence,1,1,18.4,683,9.01855728,2.2505,13,0.131,139.45,0.99,1.0807266,0.7082822,0.1483674,0.224077
18,burrawan.au,NPK,0,1,18.4,683,9.01855728,2.2505,13,0.071,67.2,0.99,2.2734944,1.093627667,0.167049267,1.012817467
19,burrawan.au,Control,0,0,18.4,683,9.01855728,2.2505,13,0.07,98.4,0.99,1.0315906,0.6023414,0.163541033,0.265708167
20,burrawan.au,Control,0,0,18.4,683,9.01855728,2.2505,13,0.073,203.35,0.99,1.335615933,0.7840064,0.146320667,0.405288867
21,burrawan.au,Fence,1,0,18.4,683,9.01855728,2.2505,13,0.103,75.7,0.99,0.971024933,0.5530404,0.166569167,0.251415367
22,burrawan.au,NPK,0,1,18.4,683,9.01855728,2.2505,13,0.092,127.9,0.99,1.9278151,0.984394467,0.1665431,0.776877533
23,burrawan.au,NPK_Fence,1,1,18.4,683,9.01855728,2.2505,13,0.125,134.35,0.99,1.463284233,0.833414767,0.148818033,0.481051433
24,cbgb.us,Control,0,0,9,855,7.671493333,17.9966,10,0.085,259.65,0.829963412,2.484759343,1.080420317,0.176779372,1.227559654
25,cbgb.us,NPK,0,1,9,855,7.671493333,17.9966,10,0.079,288.3,0.421436004,3.013831804,1.223173145,0.252761296,1.537897363
26,cbgb.us,Fence,1,0,9,855,7.671493333,17.9966,10,0.077,121,0.70661157,2.136066125,1.071203366,0.154019055,0.910843704
27,cbgb.us,NPK_Fence,1,1,9,855,7.671493333,17.9966,10,0.061,293.8,0.544417971,3.308236073,1.539138246,0.201343194,1.567754633
28,cbgb.us,NPK_Fence,1,1,9,855,7.671493333,17.9966,10,0.093,492.6,0.114900528,2.552244309,1.106037889,0.136352922,1.309853499
29,cbgb.us,Fence,1,0,9,855,7.671493333,17.9966,10,0.051,246.15,0.920373756,2.027967181,0.848886951,0.196385308,0.982694921
30,cbgb.us,NPK,0,1,9,855,7.671493333,17.9966,10,0.128,721.5,0.34975745,2.952682328,1.421354059,0.183585591,1.347742678
31,cbgb.us,Control,0,0,9,855,7.671493333,17.9966,10,0.031,123.45,0.796678817,2.055456615,1.050200753,0.167120929,0.838134933
32,cbgb.us,NPK_Fence,1,1,9,855,7.671493333,17.9966,10,0.075,359.55,0.837991934,2.178477253,1.030948741,0.159531007,0.987997505
33,cbgb.us,NPK,0,1,9,855,7.671493333,17.9966,10,0.438,311.3,0.193061356,2.957443027,1.322595925,0.209093507,1.425753595
34,cbgb.us,Fence,1,0,9,855,7.671493333,17.9966,10,0.064,242.25,0.99,1.4988799,0.721132867,0.1704221,0.607324933
35,cbgb.us,Control,0,0,9,855,7.671493333,17.9966,10,0.084,412.15,0.919082858,1.682969979,0.721811818,0.161405437,0.799752724
36,cbgb.us,NPK,0,1,9,855,7.671493333,17.9966,10,0.06,265.45,0.983612733,2.842374887,1.389404467,0.226303299,1.226667122
37,cbgb.us,Control,0,0,9,855,7.671493333,17.9966,10,0.053,257.7,0.788513776,2.395245471,0.953363719,0.227037597,1.214844155
38,cbgb.us,NPK,0,1,9,855,7.671493333,17.9966,10,0.391,602.05,0.288182045,2.925992157,1.25381776,0.209812996,1.4623614
39,cbgb.us,NPK,0,1,9,855,7.671493333,17.9966,10,0.076,331.75,0.447023361,2.844874415,1.253546554,0.165036428,1.426291434
40,cbgb.us,Control,0,0,9,855,7.671493333,17.9966,10,0.109,410.05,0.99,1.45163985,0.7908847,0.117772793,0.542982357
41,cowi.ca,NPK,0,1,9.8,764,6.9548,3.681,3,0.477,862.6,0.950614422,3.774015141,1.438980539,0.220650285,2.114384317
42,cowi.ca,Control,0,0,9.8,764,6.9548,3.681,3,0.404,1035.8,0.86995559,4.004025636,1.6293715,0.216614856,2.15803928
43,cowi.ca,NPK_Fence,1,1,9.8,764,6.9548,3.681,3,0.427,908.9,0.99,4.80319,1.7,0.35072,2.75247
44,cowi.ca,Fence,1,0,9.8,764,6.9548,3.681,3,0.395,535.9,0.938607949,4.541802565,1.908717838,0.242958308,2.390126419
45,cowi.ca,NPK_Fence,1,1,9.8,764,6.9548,3.681,3,0.391,902,0.925166297,4.527116532,1.836497063,0.247127765,2.443491704
46,cowi.ca,NPK,0,1,9.8,764,6.9548,3.681,3,0.441,906.4,0.955759047,4.921758484,1.663973963,0.313402949,2.944381572
47,cowi.ca,NPK_Fence,1,1,9.8,764,6.9548,3.681,3,0.438,920,0.99,6.70756,2.07,0.42814,4.20942
48,cowi.ca,Control,0,0,9.8,764,6.9548,3.681,3,0.413,926.1,0.961019328,4.469894632,1.993610354,0.214847203,2.261437074
49,cowi.ca,NPK,0,1,9.8,764,6.9548,3.681,3,0.39,1011,0.956973294,4.555800225,1.925224295,0.253534332,2.377041598
50,cowi.ca,Fence,1,0,9.8,764,6.9548,3.681,3,0.382,760,0.99,3.97273,1.38,0.22896,2.36377
51,gilb.za,NPK,0,1,13.1,926,8.9072608,5.0344,5,1.258,364.3,0.597309909,2.698504088,1.632501671,0.141825786,0.924176631
