country	subset	label	treatment	block	legume	richness	date (additional dates below!)	NDVI	droughtstart	relday	comments	data not yet checked for consistency!!!
FR	phytometer	C-SI	C	1	1	3	16.06.2014	0,79	15.07.2014	-29	BE: average of 3 readings per pot	
FR	phytometer	C-LI	C	1	1	3	16.06.2014	0,79	15.07.2014	-29		
FR	phytometer	D-LI	D	2	1	3	16.06.2014	0,78	15.07.2014	-29		
FR	phytometer	D-SI	D	2	1	3	16.06.2014	0,75	15.07.2014	-29		
FR	phytometer	C-SII	C	3	1	3	16.06.2014	0,8	15.07.2014	-29		
FR	phytometer	C-LII	C	3	1	3	16.06.2014	0,72	15.07.2014	-29		
FR	phytometer	D-LII	D	4	1	3	16.06.2014	0,73	15.07.2014	-29		
FR	phytometer	D-SII	D	4	1	3	16.06.2014	0,78	15.07.2014	-29		
FR	phytometer	C-SIII	C	5	1	3	16.06.2014	0,8	15.07.2014	-29		
FR	phytometer	C-LIII	C	5	1	3	16.06.2014	0,71	15.07.2014	-29		
FR	phytometer	D-LIII	D	6	1	3	16.06.2014	0,78	15.07.2014	-29		
FR	phytometer	D-SIII	D	6	1	3	16.06.2014	0,77	15.07.2014	-29		
FR	phytometer	C-SI	C	1	1	3	17.07.2014	0,77	15.07.2014	2		
FR	phytometer	C-LI	C	1	1	3	17.07.2014	0,84	15.07.2014	2		
FR	phytometer	D-LI	D	2	1	3	17.07.2014	0,8	15.07.2014	2		
FR	phytometer	D-SI	D	2	1	3	17.07.2014	0,81	15.07.2014	2		
FR	phytometer	C-SII	C	3	1	3	17.07.2014	0,75	15.07.2014	2		
FR	phytometer	C-LII	C	3	1	3	17.07.2014	0,81	15.07.2014	2		
FR	phytometer	D-LII	D	4	1	3	17.07.2014	0,77	15.07.2014	2		
FR	phytometer	D-SII	D	4	1	3	17.07.2014	0,8	15.07.2014	2		
FR	phytometer	C-SIII	C	5	1	3	17.07.2014	0,8	15.07.2014	2		
FR	phytometer	C-LIII	C	5	1	3	17.07.2014	0,77	15.07.2014	2		
FR	phytometer	D-LIII	D	6	1	3	17.07.2014	0,78	15.07.2014	2		
FR	phytometer	D-SIII	D	6	1	3	17.07.2014	0,81	15.07.2014	2		
FR	phytometer	C-SI	C	1	1	3	24.07.2014	0,7	15.07.2014	9		
FR	phytometer	C-LI	C	1	1	3	24.07.2014	0,78	15.07.2014	9		
FR	phytometer	D-LI	D	2	1	3	24.07.2014	0,74	15.07.2014	9		
FR	phytometer	D-SI	D	2	1	3	24.07.2014	0,79	15.07.2014	9		
FR	phytometer	C-SII	C	3	1	3	24.07.2014	0,77	15.07.2014	9		
FR	phytometer	C-LII	C	3	1	3	24.07.2014	0,78	15.07.2014	9		
FR	phytometer	D-LII	D	4	1	3	24.07.2014	0,66	15.07.2014	9		
FR	phytometer	D-SII	D	4	1	3	24.07.2014	0,7	15.07.2014	9		
FR	phytometer	C-SIII	C	5	1	3	24.07.2014	0,75	15.07.2014	9		
FR	phytometer	C-LIII	C	5	1	3	24.07.2014	0,63	15.07.2014	9		
FR	phytometer	D-LIII	D	6	1	3	24.07.2014	0,72	15.07.2014	9		
FR	phytometer	D-SIII	D	6	1	3	24.07.2014	0,78	15.07.2014	9		
FR	phytometer	C-SI	C	1	1	3	01.08.2014	0,74	15.07.2014	17		
FR	phytometer	C-LI	C	1	1	3	01.08.2014	0,82	15.07.2014	17		
FR	phytometer	D-LI	D	2	1	3	01.08.2014	0,77	15.07.2014	17		
FR	phytometer	D-SI	D	2	1	3	01.08.2014	0,79	15.07.2014	17		
FR	phytometer	C-SII	C	3	1	3	01.08.2014	0,7	15.07.2014	17		
FR	phytometer	C-LII	C	3	1	3	01.08.2014	0,74	15.07.2014	17		
FR	phytometer	D-LII	D	4	1	3	01.08.2014	0,77	15.07.2014	17		
FR	phytometer	D-SII	D	4	1	3	01.08.2014	0,63	15.07.2014	17		
FR	phytometer	C-SIII	C	5	1	3	01.08.2014	0,77	15.07.2014	17		
FR	phytometer	C-LIII	C	5	1	3	01.08.2014	0,71	15.07.2014	17		
FR	phytometer	D-LIII	D	6	1	3	01.08.2014	0,8	15.07.2014	17		
FR	phytometer	D-SIII	D	6	1	3	01.08.2014	0,78	15.07.2014	17		
FR	phytometer	C-SI	C	1	1	3	07.08.2014	0,74	15.07.2014	23		
FR	phytometer	C-LI	C	1	1	3	07.08.2014	0,76	15.07.2014	23		
FR	phytometer	D-LI	D	2	1	3	07.08.2014	0,74	15.07.2014	23		
FR	phytometer	D-SI	D	2	1	3	07.08.2014	0,77	15.07.2014	23		
FR	phytometer	C-SII	C	3	1	3	07.08.2014	0,65	15.07.2014	23		
FR	phytometer	C-LII	C	3	1	3	07.08.2014	0,78	15.07.2014	23		
FR	phytometer	D-LII	D	4	1	3	07.08.2014	0,78	15.07.2014	23		
FR	phytometer	D-SII	D	4	1	3	07.08.2014	0,69	15.07.2014	23		
FR	phytometer	C-SIII	C	5	1	3	07.08.2014	0,72	15.07.2014	23		
FR	phytometer	C-LIII	C	5	1	3	07.08.2014	0,74	15.07.2014	23		
FR	phytometer	D-LIII	D	6	1	3	07.08.2014	0,72	15.07.2014	23		
FR	phytometer	D-SIII	D	6	1	3	07.08.2014	0,8	15.07.2014	23		
FR	phytometer	C-SI	C	1	1	3	12.08.2014	0,7	15.07.2014	28		
