country	subset	label	treatment	block	legume	richness	date (additional dates below!)	species	species name	Biomass (g dryweight)	Individuals survived (at least partly green) (#)	timing	remark
FR	phytometer	C-SI	C	1	1	3	25.06.2014	phyto 1	Dactylis glomerata	51,1	6	pre	
FR	phytometer	C-SI	C	1	1	3	25.06.2014	phyto 2	Lotus corniculatus	9,31	6	pre	
FR	phytometer	C-SI	C	1	1	3	25.06.2014	phyto 3	Plantago lanceolata	33,21	6	pre	
FR	phytometer	C-LI	C	1	1	3	25.06.2014	phyto 1	Dactylis glomerata	6,61	6	pre	
FR	phytometer	C-LI	C	1	1	3	25.06.2014	phyto 2	Lotus corniculatus	4,38	6	pre	
FR	phytometer	C-LI	C	1	1	3	25.06.2014	phyto 3	Plantago lanceolata	29,63	6	pre	
FR	phytometer	D-LI	D	2	1	3	25.06.2014	phyto 1	Dactylis glomerata	9,5	6	pre	
FR	phytometer	D-LI	D	2	1	3	25.06.2014	phyto 2	Lotus corniculatus	4,51	6	pre	
FR	phytometer	D-LI	D	2	1	3	25.06.2014	phyto 3	Plantago lanceolata	17,19	6	pre	
FR	phytometer	D-SI	D	2	1	3	25.06.2014	phyto 1	Dactylis glomerata	45,12	6	pre	
FR	phytometer	D-SI	D	2	1	3	25.06.2014	phyto 2	Lotus corniculatus	2,02	6	pre	
FR	phytometer	D-SI	D	2	1	3	25.06.2014	phyto 3	Plantago lanceolata	41,08	6	pre	
FR	phytometer	C-SII	C	3	1	3	25.06.2014	phyto 1	Dactylis glomerata	32,8	6	pre	
FR	phytometer	C-SII	C	3	1	3	25.06.2014	phyto 2	Lotus corniculatus	5,3	6	pre	
FR	phytometer	C-SII	C	3	1	3	25.06.2014	phyto 3	Plantago lanceolata	25,69	6	pre	
FR	phytometer	C-LII	C	3	1	3	25.06.2014	phyto 1	Dactylis glomerata	17,07	6	pre	
FR	phytometer	C-LII	C	3	1	3	25.06.2014	phyto 2	Lotus corniculatus	4,77	6	pre	
FR	phytometer	C-LII	C	3	1	3	25.06.2014	phyto 3	Plantago lanceolata	17,39	6	pre	
FR	phytometer	D-LII	D	4	1	3	25.06.2014	phyto 1	Dactylis glomerata	10,15	6	pre	
FR	phytometer	D-LII	D	4	1	3	25.06.2014	phyto 2	Lotus corniculatus	3,23	6	pre	
FR	phytometer	D-LII	D	4	1	3	25.06.2014	phyto 3	Plantago lanceolata	37,79	6	pre	
FR	phytometer	D-SII	D	4	1	3	25.06.2014	phyto 1	Dactylis glomerata	60,38	6	pre	
FR	phytometer	D-SII	D	4	1	3	25.06.2014	phyto 2	Lotus corniculatus	6,56	6	pre	
FR	phytometer	D-SII	D	4	1	3	25.06.2014	phyto 3	Plantago lanceolata	31,42	6	pre	
FR	phytometer	C-SIII	C	5	1	3	25.06.2014	phyto 1	Dactylis glomerata	55,82	6	pre	
FR	phytometer	C-SIII	C	5	1	3	25.06.2014	phyto 2	Lotus corniculatus	3,23	6	pre	
FR	phytometer	C-SIII	C	5	1	3	25.06.2014	phyto 3	Plantago lanceolata	37,79	6	pre	
FR	phytometer	C-LIII	C	5	1	3	25.06.2014	phyto 1	Dactylis glomerata	22,73	6	pre	
FR	phytometer	C-LIII	C	5	1	3	25.06.2014	phyto 2	Lotus corniculatus	3,59	6	pre	
FR	phytometer	C-LIII	C	5	1	3	25.06.2014	phyto 3	Plantago lanceolata	13,92	6	pre	
FR	phytometer	D-LIII	D	6	1	3	25.06.2014	phyto 1	Dactylis glomerata	18,33	6	pre	
FR	phytometer	D-LIII	D	6	1	3	25.06.2014	phyto 2	Lotus corniculatus	6,46	6	pre	
FR	phytometer	D-LIII	D	6	1	3	25.06.2014	phyto 3	Plantago lanceolata	12,4	6	pre	
FR	phytometer	D-SIII	D	6	1	3	25.06.2014	phyto 1	Dactylis glomerata	70,3	6	pre	
FR	phytometer	D-SIII	D	6	1	3	25.06.2014	phyto 2	Lotus corniculatus	4,92	6	pre	
FR	phytometer	D-SIII	D	6	1	3	25.06.2014	phyto 3	Plantago lanceolata	33,83	6	pre	
FR	species	C-134578	C	1	0	6	25.06.2014	1	Festuca arundinacea	3,43	3	pre	
FR	species	C-134578	C	1	0	6	25.06.2014	3	Poa pratensis	0,53	3	pre	
FR	species	C-134578	C	1	0	6	25.06.2014	4	Dactylis glomerata	8,35	3	pre	
FR	species	C-134578	C	1	0	6	25.06.2014	5	Cerastium fontanum	5,57	3	pre	
FR	species	C-134578	C	1	0	6	25.06.2014	7	Knautia arvensis	1,28	3	pre	
FR	species	C-134578	C	1	0	6	25.06.2014	8	Taraxacum officinale	1,99	2	pre	
FR	species	C-24a	C	1	1	3	25.06.2014	2	Trisetum flavescens	3,43	6	pre	
FR	species	C-24a	C	1	1	3	25.06.2014	4	Dactylis glomerata	16,98	6	pre	
FR	species	C-24a	C	1	1	3	25.06.2014	a	Lotus corniculatus	4,61	6	pre	
FR	species	C-26b	C	1	1	3	25.06.2014	2	Trisetum flavescens	3	6	pre	
FR	species	C-26b	C	1	1	3	25.06.2014	6	Plantago lanceolata	18,99	6	pre	
FR	species	C-26b	C	1	1	3	25.06.2014	b	Trifolium pratense	12,74	6	pre	
FR	species	C-2357ac	C	1	1	6	25.06.2014	2	Trisetum flavescens	6,17	3	pre	
FR	species	C-2357ac	C	1	1	6	25.06.2014	3	Poa pratensis	0,98	3	pre	
FR	species	C-2357ac	C	1	1	6	25.06.2014	5	Cerastium fontanum	3,59	3	pre	
FR	species	C-2357ac	C	1	1	6	25.06.2014	7	Knautia arvensis	3,19	3	pre	
FR	species	C-2357ac	C	1	1	6	25.06.2014	a	Lotus corniculatus	2,81	3	pre	
FR	species	C-2357ac	C	1	1	6	25.06.2014	c	Vicia hirsuta	14,14	3	pre	
FR	species	C-7	C	1	0	1	25.06.2014	7	Knautia arvensis	15,85	17	pre	
FR	species	C-8	C	1	0	1	25.06.2014	8	Taraxacum officinale	20,19	18	pre	
FR	species	C-357	C	1	0	3	25.06.2014	3	Poa pratensis	2,93	6	pre	
FR	species	C-357	C	1	0	3	25.06.2014	5	Cerastium fontanum	3,56	6	pre	
FR	species	C-357	C	1	0	3	25.06.2014	7	Knautia arvensis	10,11	6	pre	
FR	species	C-2468ad	C	1	1	6	25.06.2014	2	Trisetum flavescens	4,78	3	pre	
FR	species	C-2468ad	C	1	1	6	25.06.2014	4	Dactylis glomerata	15,32	3	pre	
FR	species	C-2468ad	C	1	1	6	25.06.2014	6	Plantago lanceolata	6,52	3	pre	
FR	species	C-2468ad	C	1	1	6	25.06.2014	8	Taraxacum officinale	1,38	3	pre	
FR	species	C-2468ad	C	1	1	6	25.06.2014	a	Lotus corniculatus	4,09	3	pre	
FR	species	C-2468ad	C	1	1	6	25.06.2014	d	Trifolium repens	2,3	3	pre	
FR	species	C-2	C	1	0	1	25.06.2014	2	Trisetum flavescens	17,33	18	pre	
FR	species	C-123567	C	1	0	6	25.06.2014	1	Festuca arundinacea	2,13	3	pre	
FR	species	C-123567	C	1	0	6	25.06.2014	2	Trisetum flavescens	2,79	3	pre	
FR	species	C-123567	C	1	0	6	25.06.2014	3	Poa pratensis	0,59	3	pre	
FR	species	C-123567	C	1	0	6	25.06.2014	5	Cerastium fontanum	2,58	3	pre	
FR	species	C-123567	C	1	0	6	25.06.2014	6	Plantago lanceolata	9,3	3	pre	
FR	species	C-123567	C	1	0	6	25.06.2014	7	Knautia arvensis	2,19	3	pre	
FR	species	C-148	C	1	0	3	25.06.2014	1	Festuca arundinacea	4,43	6	pre	
FR	species	C-148	C	1	0	3	25.06.2014	4	Dactylis glomerata	18,14	6	pre	
FR	species	C-148	C	1	0	3	25.06.2014	8	Taraxacum officinale	2,7	6	pre	
FR	species	C-3	C	1	0	1	25.06.2014	3	Poa pratensis	6,66	18	pre	
FR	species	D-6	D	2	0	1	25.06.2014	6	Plantago lanceolata	18,41	15	pre	
FR	species	D-357	D	2	0	3	25.06.2014	3	Poa pratensis	3,51	6	pre	
FR	species	D-357	D	2	0	3	25.06.2014	5	Cerastium fontanum	3,59	6	pre	
FR	species	D-357	D	2	0	3	25.06.2014	7	Knautia arvensis	3,35	6	pre	
FR	species	D-8	D	2	0	1	25.06.2014	8	Taraxacum officinale	13,63	18	pre	
FR	species	D-24a	D	2	1	3	25.06.2014	2	Trisetum flavescens	6,43	6	pre	
FR	species	D-24a	D	2	1	3	25.06.2014	4	Dactylis glomerata	13,11	6	pre	
FR	species	D-24a	D	2	1	3	25.06.2014	a	Lotus corniculatus	4,99	6	pre	
FR	species	D-48d	D	2	1	3	25.06.2014	4	Dactylis glomerata	8,05	6	pre	
FR	species	D-48d	D	2	1	3	25.06.2014	8	Taraxacum officinale	3,16	6	pre	
FR	species	D-48d	D	2	1	3	25.06.2014	d	Trifolium repens	7,28	6	pre	
FR	species	D-1258cd	D	2	1	6	25.06.2014	1	Festuca arundinacea	0,77	3	pre	
